기준년분기코드,행정동코드,집객시설수,관공서수,은행수,종합병원수,일반병원수,약국수,유치원수,초등학교수,중학교수,고등학교수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
202203,11710632,120,3,6,,,17,4,2,1,,,,,,,,,,1,21
202203,11710647,61,3,1,,,5,2,2,1,,,,,,,,,,,32
202203,11710720,30,2,4,,,4,,1,2,1,,,,,,,,,2,3
202203,11740580,47,1,3,,,6,1,2,,,,,,,,,,,1,6
202203,11140550,382,20,46,,,35,,1,,,4,,,,12,,,,2,32
202203,11140520,212,13,29,,,10,,1,4,3,,1,,,3,,,,2,29
202203,11140615,98,7,5,,1,12,,1,1,3,,,3,,1,,,,2,8
202203,11170510,71,6,1,,,7,1,2,,1,,,2,,,,,,,17
202203,11200645,117,4,2,,,10,2,2,1,1,,,,,,,,,3,46
202203,11200580,45,3,,,,2,,1,1,,,,,,,,,,1,26
202203,11200590,73,2,,,,6,1,1,,1,,,,,,,,,1,42
202203,11215860,97,3,2,,1,9,3,2,,,1,,,,,,,,1,25
202203,11260655,222,9,4,1,4,25,1,2,3,4,,,9,,2,,,,2,54
202203,11290555,152,7,5,,,14,,1,1,2,14,,,,,,,,,45
202203,11290715,92,2,3,,,10,,2,1,1,,,,,1,,,,,30
202203,11290650,121,7,3,,,12,2,1,,2,12,,,,,,,,1,40
202203,11350560,135,4,2,,,10,2,1,1,1,17,,,,,,,,,50
202203,11380510,128,8,3,,2,12,1,3,,,,,1,,,,,,2,37
202203,11380580,119,5,5,,1,20,1,1,1,1,,,,,,,,,,26
202203,11380590,75,3,1,,1,10,2,1,,,,,,,,,,,,37
202203,11380650,66,4,2,,,7,1,1,,,,,2,,,,,,4,23
202203,11380632,65,4,,,,5,,3,1,1,,,,,,,,,,32
202203,11410640,123,3,3,,2,14,1,2,1,,3,,4,,6,,,,1,46
202203,11410655,51,1,,,,6,3,,,,,,,,1,,,,,15
202203,11440690,82,2,2,,,11,,,,,,,,,1,,,,,23
202203,11440730,134,6,3,,,13,2,3,2,,,,1,,,,,,3,47
202203,11440700,72,4,1,,,6,1,2,,,,,,,,,,,,32
202203,11470610,37,1,2,,1,5,1,1,1,,,,,,,,,,,15
202203,11500530,47,3,,,1,6,2,2,2,2,,,,,,,,,,8
202203,11470680,85,3,2,,,8,3,3,1,1,,,,,,,,,1,27
202203,11500611,216,3,8,1,2,33,2,3,4,8,,,1,,,,,,,67
202203,11500640,100,4,,,,5,3,1,1,,,,2,,,,,,5,35
202203,11530770,107,5,4,,,11,3,1,,,,,,,,,,,1,22
202203,11545680,57,2,,,,3,2,3,1,2,,,,,,,,,,29
202203,11560610,73,5,3,,1,6,,1,,1,,,,,1,,,,1,22
202203,11590520,70,5,4,,1,14,1,,,,,,,,1,,,,,14
202203,11590540,134,5,3,,,17,1,1,1,,,,1,,1,,,,1,40
202203,11590650,53,2,1,,,6,,,1,,,,1,,,,,,,4
202203,11620630,65,3,1,,,6,1,1,,,1,,,,,,,,2,6
202203,11620525,68,1,1,,,5,,1,1,1,,,,,,,,,,24
202203,11620545,33,2,,,,4,2,,,,,,,,2,,,,,7
202203,11620735,272,5,6,,,11,,1,1,2,140,,,,,,,,,70
