,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,세탁업,영화상영관,제과점영업,체력단련장업,구분없음,대규모점포,대형마트,백화점,복합쇼핑몰,쇼핑센터,시장,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,도서관,박물관미술관,우체국,음식점수,카페수,패스트푸드
141,을지로3가,2,3,1,3,2,0,0,2,3,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,5,0.0,0.0,0.0,160.0,13.0,0.0
142,입정동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,24.0,0.0,0.0
143,산림동,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,43.0,3.0,0.0
144,충무로3가,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0.0,0.0,0.0,118.0,9.0,0.0
145,초동,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,6,0.0,0.0,0.0,108.0,6.0,1.0
146,인현동1가,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,47.0,6.0,0.0
147,저동2가,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,6,0,0,0,1,0,3,0.0,0.0,0.0,101.0,17.0,0.0
148,신당동,6,43,1,15,6,41,0,23,24,1,15,0,0,0,0,0,2,37,108,2,3,2,3,33,39,5.0,0.0,0.0,1015.0,134.0,15.0
149,흥인동,1,2,0,2,0,0,0,2,4,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,3,0.0,0.0,0.0,85.0,12.0,1.0
150,무학동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,9,3,0.0,0.0,0.0,48.0,2.0,0.0
151,황학동,0,6,0,4,2,6,0,6,8,0,2,1,0,0,0,0,0,10,17,0,0,0,0,2,10,0.0,0.0,0.0,317.0,17.0,7.0
152,서소문동,1,4,1,2,0,0,0,3,3,0,0,0,0,0,0,0,0,4,18,0,1,0,1,0,3,0.0,1.0,1.0,143.0,22.0,1.0
153,정동,1,3,0,3,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,2.0,2.0,89.0,12.0,0.0
