,읍면동명,관공서수,은행수,종합병원수,일반병원수,약국수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
328,남현동,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0
329,서원동,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2
330,신원동,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
331,서림동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
332,신사동,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1
333,신림동,0,1,0,0,3,0,0,0,0,3,0,0,0,1,0
334,난향동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
335,조원동,1,0,0,1,2,0,0,1,0,0,0,0,0,0,2
336,대학동,2,2,0,0,2,2,0,0,0,0,0,0,0,0,3
337,삼성동,1,0,0,0,1,0,0,0,0,2,0,0,0,0,3
338,미성동,1,1,0,1,2,0,0,0,0,1,0,0,0,0,3
339,난곡동,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2
340,서초1동,2,3,0,1,2,2,0,0,0,0,0,0,0,2,3
341,서초2동,3,3,0,0,3,0,0,0,0,1,0,0,0,2,3
342,서초3동,3,3,0,2,3,1,0,0,0,0,0,0,1,2,3
343,서초4동,0,3,0,1,3,0,0,0,0,0,0,0,0,0,3
344,잠원동,1,3,0,0,2,0,0,0,0,0,0,0,0,2,1
345,반포본동,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
346,반포1동,3,2,0,1,3,0,0,0,0,0,0,0,0,1,1
347,반포2동,2,2,0,0,0,0,0,1,0,0,0,0,0,1,1
348,반포3동,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0
349,반포4동,3,3,1,0,2,2,0,0,0,0,0,0,0,3,2
350,방배본동,0,2,0,0,3,0,0,1,0,0,0,0,0,0,1
351,방배1동,1,2,0,1,1,2,0,1,0,0,0,0,0,1,1
352,방배2동,2,1,0,0,0,0,0,1,0,1,0,0,0,1,2
353,방배3동,2,1,0,2,0,2,0,0,0,0,0,0,0,0,3
354,방배4동,1,3,0,0,2,2,0,0,0,1,0,0,0,1,2
355,양재1동,3,3,0,1,3,1,0,0,0,0,0,0,0,2,3
356,양재2동,0,3,0,0,2,0,0,1,0,0,0,0,0,2,3
357,내곡동,2,0,0,1,0,2,0,1,0,0,0,0,0,0,3
358,신사동,1,3,0,0,3,0,1,0,0,0,0,0,0,1,0
359,논현1동,2,3,0,2,3,0,0,1,0,0,0,0,0,2,1
360,논현2동,3,3,0,2,3,2,0,0,0,0,0,0,0,1,2
361,압구정동,2,3,0,2,3,0,2,1,0,0,0,0,0,2,1
362,청담동,3,3,0,2,3,1,0,0,0,0,0,0,0,1,1
363,삼성1동,3,3,0,2,2,0,1,0,0,0,0,0,0,3,3
364,삼성2동,3,3,0,0,2,1,0,0,0,0,0,0,0,3,2
365,대치1동,2,3,0,0,2,1,0,0,0,0,0,0,0,0,1
366,대치2동,3,3,0,2,3,0,0,0,0,0,0,0,0,2,3
367,대치4동,2,3,1,1,3,1,1,0,0,0,0,0,0,0,0
368,역삼1동,3,3,1,2,3,0,0,0,0,1,0,0,0,2,3
